employee_id,name,department,band,base_salary,work_conditions_premium,overtime_premium,other_premiums,annual_bonus,profit_sharing,social_security_tax,medicare,er_401k,er_pension,ltips,planned_hours,actual_hours,sick_days,holiday_days,other_absences,currency,fx_rate
1001,John Doe,ERP,BV,85000,2500,3500,1000,8500,2000,5270,1232.5,2550,1700,4250,2080,2095,5,12,2,USD,1.0
1002,Jane Smith,ERA,BIV,72000,1800,2200,800,7200,1440,4464,1044,2160,1440,3600,2080,2065,8,12,3,USD,1.0
1003,Michael Johnson,ERZ,BIII,65000,1500,1800,700,6500,1300,4030,942.5,1950,1300,3250,2080,2090,3,12,1,USD,1.0
1004,Lisa Brown,8VC,BVI,92000,3000,4100,1200,9200,2300,5704,1334,2760,1840,4600,2080,2110,4,12,0,USD,1.0
1005,Robert Chen,MMS,BV,84000,2400,3200,900,8400,1680,5208,1218,2520,1680,4200,2080,2075,6,12,4,USD,1.0
1006,Sarah Wilson,WC,BIV,71000,1700,2100,750,7100,1420,4402,1029.5,2130,1420,3550,2080,2050,10,12,2,USD,1.0
1007,David Lee,BC,BIII,66000,1600,1900,700,6600,1320,4092,957,1980,1320,3300,2080,2085,7,12,1,USD,1.0
1008,Emily Garcia,ERP,BV,86000,2600,3600,1100,8600,2150,5332,1247,2580,1720,4300,2080,2100,4,12,3,EUR,1.1
1009,James Wilson,ERA,BVI,95000,3100,4200,1300,9500,2375,5890,1377.5,2850,1900,4750,2080,2095,3,12,0,USD,1.0
1010,Maria Rodriguez,ERZ,BIV,73000,1900,2300,850,7300,1460,4526,1058.5,2190,1460,3650,2080,2060,5,12,2,USD,1.0
